id,fecha,dia,mes,año,victima,hora,franja_horaria,participantes,acusado,cantidad_victimas,comuna,lugar_hecho,tipo_calle,calle,cruce,direccion_normalizada,xy,x,y,rol,sexo,edad,fecha_fallecimiento
2016-0065,2016-05-20,20,5,2016,PEATON,14:40:00,14,PEATON-AUTO,AUTO,1,6,AV GAONA Y ESPINOSA,AVENIDA,GAONA AV.,ESPINOSA,GAONA AV. y ESPINOSA,Point (101010.75965434 102062.18185970),-58.45227946,-34.61068024,PEATON,MASCULINO,20.0,2016-05-20 00:00:00
2016-0067,2016-05-21,21,5,2016,MOTO,17:00:00,17,MOTO-PASAJEROS,PASAJEROS,1,8,AV LISANDRO DE LA TORRE Y SARAZA,AVENIDA,"DE LA TORRE, LISANDRO",SARAZA,"DE LA TORRE, LISANDRO y SARAZA",Point (98052.13008621 94912.60873025),-58.48455411,-34.67512760,PASAJERO_ACOMPAÑANTE,FEMENINO,30.0,
2016-0068,2016-05-22,22,5,2016,MOTO,22:00:00,22,MOTO-PASAJEROS,PASAJEROS,1,2,AV FIGUEROA ALCORTA Y AV PUEYRREDON,AVENIDA,"FIGUEROA ALCORTA, PRES. AV.",PUEYRREDON AV.,"FIGUEROA ALCORTA, PRES. AV. y PUEYRREDON AV.",Point (106673.12856878 104998.99234220),-58.39056593,-34.58418569,CONDUCTOR,MASCULINO,58.0,
2016-0069,2016-05-23,23,5,2016,AUTO,03:30:00,3,AUTO-CARGAS,CARGAS,1,3,AV ENTRE RIOS Y PASAJE FILIBERTO,AVENIDA,ENTRE RIOS AV.,FILIBERTO,ENTRE RIOS AV. y FILIBERTO,Point (106612.54991859 100244.75667446),-58.39118948,-34.62704273,CONDUCTOR,MASCULINO,30.0,2016-05-23 00:00:00
2016-0073,2016-06-11,11,6,2016,MOTO,15:00:00,15,MOTO-CARGAS,CARGAS,1,10,MAGARIÑOS CERVANTES 3900,CALLE,"MAGARI?OS CERVANTES, A.",,"MAGARIÃ‘OS CERVANTES, A. 3900",Point (97531.24792840 101000.15957301),-58.49021952,-34.62025108,CONDUCTOR,MASCULINO,23.0,
2016-0074,2016-06-12,12,6,2016,AUTO,06:40:00,6,AUTO-AUTO,AUTO,1,8,AV GRAL PAZ Y RODOLFO SCAPINO,GRAL PAZ,"PAZ, GRAL. AV.","SCAPINO, RODOLFO","PAZ, GRAL. AV. y SCAPINO, RODOLFO",Point (96731.44252651 94668.88351657),-58.49896559,-34.67732118,CONDUCTOR,MASCULINO,60.0,
2016-0075,2016-06-12,12,6,2016,PEATON,23:13:00,23,PEATON-AUTO,AUTO,1,8,AUTOPISTA DELLEPIANE LUIS TTE GRAL Y MIRALLA,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,MIRALLA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y MIRALLA,Point (98963.32962830 95620.61360192),-58.47461076,-34.66874679,PEATON,MASCULINO,42.0,2016-06-12 00:00:00
2016-0076,2016-06-13,13,6,2016,PEATON,16:20:00,16,PEATON-PASAJEROS,PASAJEROS,1,15,AV SAN MARTIN Y CAMARONES,AVENIDA,SAN MARTIN AV.,CAMARONES,SAN MARTIN AV. y CAMARONES,Point (100109.22264405 102851.86942760),-58.46210891,-34.60356211,PEATON,FEMENINO,53.0,2016-06-13 00:00:00
2016-0077,2016-06-13,13,6,2016,PEATON,21:52:00,21,PEATON-PASAJEROS,PASAJEROS,1,1,TTEG JUAN D PERON Y AVDA LEANDRO N ALEM,AVENIDA,"PERON, JUAN DOMINGO, TTE. GENERAL","ALEM, LEANDRO N. AV.","PERON, JUAN DOMINGO, TTE. GENERAL y ALEM, LEANDRO N. AV.",Point (108532.37320501 102648.40418720),-58.37027770,-34.60536123,PEATON,FEMENINO,,
2016-0078,2016-06-13,13,6,2016,MOTO,23:01:00,23,MOTO-MOTO,MOTO,1,3,AV BELGRANO Y AV JUJUY,AVENIDA,BELGRANO AV.,JUJUY AV.,BELGRANO AV. y JUJUY AV.,Point (105354.74322032 101621.63182427),-58.40491455,-34.61463830,CONDUCTOR,MASCULINO,30.0,
2016-0079,2016-06-16,16,6,2016,AUTO,17:13:00,17,AUTO-AUTO,AUTO,1,13,AV DEL LIBERTADOR Y AV GUILLERMO UDAONDO,AVENIDA,DEL LIBERTADOR AV.,"UDAONDO, GUILLERMO AV.","DEL LIBERTADOR AV. y UDAONDO, GUILLERMO AV.",Point (100757.94817512 108943.96108781),-58.45504154,-34.54864492,CONDUCTOR,FEMENINO,51.0,
2016-0080,2016-06-18,18,6,2016,AUTO,06:42:00,6,AUTO-SD,SD,1,9,AV GRAL PAZ Y AV RIVADAVIA,GRAL PAZ,"PAZ, GRAL. AV.",RIVADAVIA AV.,"PAZ, GRAL. AV. y RIVADAVIA AV.",Point (93950.50587297 98883.37644525),-58.52927982,-34.63931752,CONDUCTOR,MASCULINO,60.0,
2016-0081,2016-06-22,22,6,2016,MOTO,07:42:00,7,MOTO-AUTO,AUTO,1,12,AV CRISOLOGO LARRALDE Y MACHAIN,AVENIDA,"LARRALDE, CRISOLOGO AV.",MACHAIN,"LARRALDE, CRISOLOGO AV. y MACHAIN",Point (97805.54034401 107789.89169078),-58.48721060,-34.55904606,CONDUCTOR,MASCULINO,40.0,
2016-0082,2016-06-27,27,6,2016,PEATON,18:24:00,18,PEATON-AUTO,AUTO,1,4,AV LA PLATA 2384,AVENIDA,LA PLATA AV.,,LA PLATA AV. 2384,Point (103719.51591058 98555.13443768),-58.42273092,-34.64228803,PEATON,MASCULINO,87.0,2016-07-05 00:00:00
2016-0083,2016-06-28,28,6,2016,PEATON,20:46:00,20,PEATON-MOTO,MOTO,1,6,AV JUAN B ALBERDI Y PUAN,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",PUAN,"ALBERDI, JUAN BAUTISTA AV. y PUAN",Point (101413.41644585 100430.31523295),-58.44788671,-34.62539009,PEATON,FEMENINO,76.0,2016-06-29 00:00:00
2016-0084,2016-06-29,29,6,2016,PEATON,22:00:00,22,PEATON-PASAJEROS,PASAJEROS,1,1,CARLOS PELLEGRINI Y TUCUMAN,CALLE,"PELLEGRINI, CARLOS",TUCUMAN,"PELLEGRINI, CARLOS y TUCUMAN",Point (107539.54864414 103093.65031518),-58.38110563,-34.60135531,PEATON,MASCULINO,57.0,2016-07-08 00:00:00
2016-0085,2016-06-29,29,6,2016,MOTO,22:00:00,22,MOTO-MOVIL,OTRO,1,4,AVDA ITE FRANCISCO RABANAL & AVDA EREZCANO,AVENIDA,"RABANAL, FRANCISCO, INTENDENTE AV.",EREZCANO,"RABANAL, FRANCISCO, INTENDENTE AV. y EREZCANO",Point (103621.92252760 96885.28433165),-58.42378834,-34.65734100,,MASCULINO,,
2016-0086,2016-06-30,30,6,2016,PEATON,16:10:00,16,PEATON-PASAJEROS,PASAJEROS,1,10,AV OLIVERA Y RAMON FALCON,AVENIDA,OLIVERA AV.,"FALCON, RAMON L.,CNEL.","OLIVERA AV. y FALCON, RAMON L.,CNEL.",Point (97801.31825511 99194.93911759),-58.48727942,-34.63652467,PEATON,MASCULINO,75.0,2016-07-01 00:00:00
2016-0087,2016-07-02,3,7,2016,MOTO,00:10:00,0,MOTO-OBJETO FIJO,OBJETO FIJO,1,1,AUTOPISTA 1 SUR PTE ARTURO FRONDIZI Y AV CASEROS,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y CASEROS AV.,Point (107762.62066736 100018.90176187),-58.37864583,-34.62907067,,,,
2016-0088,2016-07-11,11,7,2016,PEATON,15:30:00,15,PEATON-AUTO,AUTO,1,12,CERETTI Y NUÑEZ,CALLE,CERETTI,NU?EZ,CERETTI y NUÃ‘EZ,Point (96492.89040317 106832.19475660),-58.50151750,-34.56767549,PEATON,FEMENINO,70.0,2016-07-14 00:00:00
2016-0089,2016-07-14,14,7,2016,PEATON,06:40:00,6,PEATON-AUTO,AUTO,1,13,AV LUGONES Y LA PAMPA,AUTOPISTA,"LUGONES, LEOPOLDO AV.",LA PAMPA,"LUGONES, LEOPOLDO AV. y LA PAMPA",Point (102842.06561704 108587.10659007),-58.43233425,-34.55185825,PEATON,MASCULINO,35.0,2016-07-14 00:00:00
